question,option_a,option_b,option_c,option_d,correct_answer,explanation
"What is the chemical symbol for water?","H₂O","CO₂","NaCl","O₂",A,"Water is composed of two hydrogen atoms and one oxygen atom"
"What is the pH of a neutral solution?","0","7","14","1",B,"A pH of 7 is neutral on the pH scale"
"Which element has atomic number 1?","Helium","Oxygen","Carbon","Hydrogen",D,"Hydrogen is the lightest element with atomic number 1"
"What is the chemical formula of table salt?","KCl","NaCl","CaCl₂","NaOH",B,"Table salt is sodium chloride (NaCl)"
"Which gas do plants absorb during photosynthesis?","Oxygen","Nitrogen","Carbon Dioxide","Hydrogen",C,"Plants use CO₂ and sunlight to produce glucose"
"What is the most abundant gas in Earth's atmosphere?","Oxygen","Carbon Dioxide","Nitrogen","Argon",C,"Nitrogen makes up about 78% of the atmosphere"
"What type of bond involves sharing of electrons?","Ionic","Covalent","Metallic","Hydrogen",B,"Covalent bonds share electron pairs between atoms"
"What is Avogadro's number approximately?","6.022 × 10²³","3.14 × 10⁸","1.602 × 10⁻¹⁹","9.8",A,"Avogadro's number defines one mole of particles"
"Which subatomic particle has a negative charge?","Proton","Neutron","Electron","Photon",C,"Electrons carry a negative electrical charge"
"What is the process of a liquid turning into gas called?","Condensation","Evaporation","Sublimation","Freezing",B,"Evaporation is the liquid-to-gas phase transition"
